Min.Price,Price,Max.Price,Cylinders,EngineSize,Horsepower,RPM,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Weight
13.8,17.5,21.2,4,2.2,140,5600,17,4,185,107,67,3040
6.8,8,9.2,4,1.5,81,5500,11.9,5,168,94,63,2345
9,10,11,4,1.8,124,6000,13.7,5,172,98,66,2620
9.1,10,11,4,1.5,92,5550,11.9,4,166,94,64,2285
12.4,13.9,15.3,4,2,128,6000,17.2,5,184,104,69,2885
45.4,47.9,50.4,8,4.5,278,6000,22.5,5,200,113,72,4000
27.5,28,28.4,6,3,185,5200,18.5,5,188,103,70,3510
34.7,35.2,35.6,6,3,225,6000,20.6,4,191,106,71,3515
33.3,34.3,35.3,6,3.8,160,4400,18.4,6,205,109,73,3695
34.4,36.1,37.8,8,4.6,210,4600,20,6,219,117,77,4055
7.4,8.3,9.1,4,1.6,82,5000,13.2,4,164,97,66,2325
10.9,11.6,12.3,4,1.8,103,5500,14.5,5,172,98,66,2440
14.3,16.5,18.7,4,2.5,164,5600,15.5,5,184,103,69,2970
16.6,19.1,21.7,6,3,155,5000,19.6,7,190,110,72,3735
32.5,32.5,32.5,4,1.3,255,6500,20,2,169,96,69,2895
29,31.9,34.9,4,2.3,130,5100,14.5,5,175,105,67,2920
43.8,61.9,80,6,3.2,217,5500,18.5,5,187,110,69,3525
13.3,14.1,15,4,1.6,100,5750,11.1,4,166,95,65,2450
14.9,14.9,14.9,6,3.8,140,3800,18,5,199,113,73,3610
7.7,10.3,12.9,4,1.5,92,6000,13.2,5,172,98,67,2295
22.4,26.1,29.9,6,3,202,6000,19,5,190,107,70,3730
8.7,11.8,14.9,4,1.6,110,6000,13.2,5,170,96,66,2545
13,15.7,18.3,4,2.4,150,5600,15.9,5,181,103,67,3050
16.7,19.1,21.5,6,3,151,4800,20,7,190,112,74,4100
21,21.5,22,6,3,160,5200,18.5,5,188,104,69,3200
13,13.5,14,4,2.3,155,6000,15.2,5,188,103,67,2910
14.2,16.3,18.4,4,2.2,110,5200,16.5,5,190,105,70,2890
19.5,19.5,19.5,6,3.8,170,4800,20,7,194,110,74,3715
19.5,20.7,21.9,6,3.8,170,4800,18,6,201,111,74,3470
11.4,14.4,17.4,4,1.8,92,5000,15.9,4,173,97,67,2640
8.2,9,9.9,4,1.6,74,5600,13.2,4,177,99,66,2350
9.4,11.1,12.8,4,2,110,5200,15.2,5,181,101,66,2575
14,17.7,21.4,6,3.4,160,4600,15.5,4,196,101,75,3240
15.4,18.5,21.6,6,3.4,200,5000,16.5,5,195,108,72,3450
19.4,24.4,29.4,6,3.8,170,4800,18,6,177,111,74,3495
20.3,28.7,37.1,4,2.1,140,6000,18,5,184,99,67,2775
9.2,11.1,12.9,4,1.9,85,5000,12.8,5,176,102,68,2495
7.3,8.4,9.5,3,1.2,73,5600,9.2,4,146,90,60,2045
10.5,10.9,11.3,4,1.8,90,5200,15.9,5,175,97,65,2490
16.3,19.5,22.7,4,2.2,130,5600,15.9,5,179,102,67,3085
7.3,8.6,10,3,1.3,70,6000,10.6,4,161,93,63,1965
7.8,9.8,11.8,4,1.5,82,5200,11.9,5,162,94,65,2055
14.2,18.4,22.6,4,2.2,135,5400,15.9,4,174,99,69,2950
15.2,18.2,21.2,4,2.2,130,5400,18.5,5,188,103,70,3030
18.9,22.7,26.6,4,2.4,138,5000,19.8,7,187,113,71,3785
8.7,9.1,9.5,4,1.8,81,5500,12.4,4,163,93,63,2240
16.6,19.7,22.7,5,2.5,109,4500,21.1,7,187,115,72,3960
17.6,20,22.4,4,2,134,5800,18.5,5,180,103,67,2985
22.9,23.3,23.7,6,2.8,178,5800,18.5,4,159,97,66,2810
21.8,22.7,23.5,4,2.3,114,5400,15.8,5,190,104,67,2985
24.8,26.7,28.5,5,2.4,168,6200,19.3,5,184,105,69,3245
